Number_of_deaths,Incident_Date,Flight_name,Aircraft_type,Accident_details
279,"June 12, 2025",Air India Flight 171,Boeing 787-8 Dreamliner,"Air India Flight 171 flying from Ahmedabad, India, to London, United Kingdom, crashed shortly after take off into the Meghaninagar neighbourhood, killing all except 1 onboard.[25][26][27] At least 279 bodies were recovered, with 241 of them being from the flight.[28] The cause of the crash is currently unknown and is under investigation by AAIB India, NTSB and AAIB UK."
257,"April 11, 2018",Algerian Air Force transport aircraft,Ilyushin Il-76,"Algerian Air Force transport aircraft crashed shortly after take-off from Boufarik Airport, killing all 257 occupants on board the Ilyushin Il-76.[41]"
224,"October 31, 2015",Metrojet Flight 9268,Airbus A321-231,"Metrojet Flight 9268 crashed in the Sinai Peninsula after departing Sharm el-Sheikh International Airport, Egypt, en route to Pulkovo Airport, Saint Petersburg, Russia. All 224 occupants on board were killed. A branch of the Islamic State of Iraq and the Levant claimed responsibility for bringing down the jet, and a Russian investigation concluded that a bomb was detonated inside the plane at a high altitude."
298,"July 17, 2014",Malaysia Airlines Flight 17,Boeing 777-200ER,"Malaysia Airlines Flight 17 flying from Amsterdam to Kuala Lumpur, was shot down in an area of Eastern Ukraine near the Ukraine/Russian border during the war in Donbas. There were 298 people on board: 283 passengers and 15 crew members, all of whom died. The crew were all Malaysians, while the passengers were of various nationalities, most from the Netherlands. Several Ukrainian Air Force (UAF) aircraft had been shot down over the rebel-controlled territory before the MH17 incident. Immediately after the crash, a post appeared on the VKontakte social media profile attributed to Igor Girkin, leader of the Donbas separatist militia, claiming responsibility for shooting down a Ukrainian An-26 military transport near Torez.[21] The post was removed later the same day, and the separatists then denied shooting down any aircraft.[22][23][24]"
239,"March 8, 2014",Malaysia Airlines Flight 370,Boeing 777-200ER,"Malaysia Airlines Flight 370 flying from Kuala Lumpur, Malaysia, to Beijing, China, lost contact with air traffic controllers over the South China Sea, deviated from its planned route, and was presumed lost in the southern Indian Ocean. It carried 12 Malaysian crew members and 227 passengers from 15 nations, who are all presumed dead. A multinational search effort, the most extensive and expensive in aviation history, has thus far failed to locate the aircraft, though debris from the aircraft has been recovered from beaches around the Indian Ocean. Numerous theories have been offered to explain the disappearance of the flight, but none have been confirmed."
228,"June 1, 2009",Air France Flight 447,Airbus A330-203,"Air France Flight 447 carrying 228 occupants, was en route from Rio de Janeiro, Brazil to Paris, France, when it crashed into the Atlantic Ocean. The aircraft's flight recorders were not recovered from the ocean floor until May 2011, and the final investigative report was released in July 2012. It determined that the disaster was likely due to the aircraft's pitot tubes being obstructed by ice crystals, causing the autopilot to disconnect. The crew reacted incorrectly, leading to an aerodynamic stall from which the jet did not recover."
275,"February 19, 2003",Iranian military aircraft,Ilyushin Il-76,An Iranian military Ilyushin Il-76 crashed in mountainous terrain near Kerman in Iran. The official report says bad weather brought the aircraft down; high winds and fog were present at the time of the crash.[29]
225,"May 25, 2002",China Airlines Flight 611,Boeing 747-209B,"China Airlines Flight 611 bound for Hong Kong International Airport in Hong Kong, disintegrated in mid-air and crashed into the Taiwan Strait 20 minutes after takeoff from Chiang Kai-shek International Airport (now Taiwan Taoyuan International Airport) in Taiwan. It was determined that the crash, which killed all 206 passengers and 19 crew members aboard the plane, was caused by improper repairs to the aircraft 22 years earlier when the aircraft encountered a tailstrike."
265,"November 12, 2001",American Airlines Flight 587,Airbus A300,"American Airlines Flight 587 crashed in the Belle Harbor neighborhood of Queens, New York, just after departing John F. Kennedy International Airport bound for Las Américas International Airport, Santo Domingo. The first officer's overuse of the rudder in response to wake turbulence from a Japan Airlines 747 was cited as cause. All 260 people on board, as well as five people on the ground, died from the crash.[36][37][38] It is the second-deadliest aviation accident on U.S. soil, after American Airlines Flight 191."
217,"October 31, 1999",EgyptAir Flight 990,Boeing 767-366ER,"EgyptAir Flight 990 flying from Los Angeles International Airport, United States, to Cairo International Airport, Egypt, with a stop at John F. Kennedy International Airport, New York City, crashed into the Atlantic Ocean south of Nantucket Island, Massachusetts, killing all 217 occupants onboard. The National Transportation Safety Board determined that the probable cause of the crash was deliberate action by the relief first officer in response to his removal from international service within Egyptair, a finding disputed by Egyptian authorities who maintain another cause of the accident."
229,"September 2, 1998",Swissair Flight 111,McDonnell Douglas MD-11,"Swissair Flight 111 carrying 215 passengers and 14 crew from New York City to Geneva, Switzerland, crashed into the Atlantic Ocean near Halifax, Nova Scotia, Canada, killing all 229 people aboard. After a lengthy investigation, an official report stated that flammable material used in the aircraft's structure, specifically the Personal TV Systems recently installed in the Business Class Cabin, allowed a fire to spread, resulting in a loss of control."
202,"February 16, 1998",China Airlines Flight 676,Airbus A300B4-622R,"China Airlines Flight 676 en route from Ngurah Rai Airport in Bali, Indonesia, to Chiang Kai-shek International Airport (now Taoyuan International Airport), Taiwan, crashed into a road and residential neighborhood in Taoyuan, Taiwan, killing 182 passengers, 14 crew, and six people on the ground. An investigation determined that when the control tower ordered the pilot to abort his landing and ""go around"" for a second attempt, the pilot, who had unintentionally released the plane's autopilot, did nothing to take control of the plane for 11 seconds as he apparently thought the autopilot would initiate the go around. As the aircraft approached the airport, the pilot executed a sudden steep ascent that produced a stall and crash. China Airlines was also criticized for ""insufficient training""."
234,"September 26, 1997",Garuda Indonesia Flight 152,Airbus A300B4-220,"Garuda Indonesia Flight 152 which departed from Jakarta, Indonesia, and was preparing to land at Medan, North Sumatra, crashed into mountainous terrain, killing all 234 occupants on board. The causes included turning left instead of right as instructed by ATC and descending below the assigned altitude of 2,000 feet due to pilot error. It is the deadliest aviation disaster in Indonesia's history."
228,"August 6, 1997",Korean Air Flight 801,Boeing 747-3B5,"Korean Air Flight 801 crashed on approach to the international airport in the United States territory of Guam, killing 228 of the 254 people aboard. Contributing factors in the crash were fatigue and errors by the flight crew, inadequate flight crew training, and a modification of the airport's altitude warning system that prevented it from detecting aircraft below a minimum safe altitude."
